Pronunciation,Syllables,Word,Frequency
AA,AA,AACHEN,751750
AA,AA,AARHUS,596188
AA,A,ABO,537387
AA,A,ACCRA,577217
AA,A,ACHMED,30101
AA,A,ADINA,192600
AA,A,ADIOS,348221
AA,A,ADON,85035
AA,A,ADORA,187999
AA,A,ADORNO,180642
AA,A,ADRIENNE,1306669
AA,A,AGA,1186967
AA,A,AGOSTINI,95953
AA,A,AGOSTINO,300291
AA,A,AGUADILLA,90055
AA,A,AGUASCALIENTES,121626
AA,A,AHA,1504696
AA,A,AHMADI,95320
AA,A,AKIHITO,34644
AA,A,ALEPH,692035
AA,A,ALESSANDRO,1258914
AA,A,ALI,8924192
AA,A,ALLA,1958469
AA,A,ALLAH,5096394
AA,A,ALLEGRA,1735551
AA,A,ALLENDE,503327
AA,A,ALMOND,2500565
AA,A,ALOIS,183079
AA,A,ALVARADO,489844
AA,A,AMADEO,66794
AA,A,AMAN,340233
AA,A,AMARA,385614
AA,A,AMATO,555291
AA,A,AMAYA,825410
AA,A,AMERIGO,79418
AA,A,AMI,2202799
AA,A,AMIN,808139
AA,A,AMISH,1424712
AA,A,AMON,677110
AA,A,AMOROSO,81397
AA,A,AMOUR,1346779
AA,A,ANA,6422027
AA,A,ANOPHELES,187332
AA,A,ANURADHAPURA,126660
AA,A,APIA,311582
AA,A,AQUAMARINE,870235
AA,A,AQUANAUT,28989
AA,A,ARAMAIC,410337
AA,A,ARAWAK,56922
AA,A,ARMOIRE,815525
AA,A,ASA,3762120
AA,A,ASSAM,803070
AA,A,ATA,5599667
AA,A,AVE,34706502
AA,A,AWNING,978521
AA,A,AZERBAIJAN,6289278
AA,A,AZERBAIJANI,512327
AA,A,AZERBAIJANIS,27765
AA,A,BIALY,23321
AA,A,CAMARADERIE,386454
AA,A,CARACAS,1288885
AA,A,CHIAPAS,717761
AA,A,COLORADO,45410185
AA,A,CORRADO,302998
AA,A,CYRANO,217853
AA,A,DESIDERATA,87224
AA,A,DESPERADO,315344
AA,A,DIPHTHERIA,433678
AA,A,DORADO,1796206
AA,A,ELDORADO,1408905
AA,A,GANGLIA,488078
AA,A,GENEALOGICAL,1868477
AA,A,GENEALOGY,10127416
AA,A,GUIANA,3322604
AA,A,GUYANA,5758483
AA,A,HAMMURABI,71836
AA,A,HYPEROPIA,74411
AA,A,IAGO,198988
AA,A,IRANI,158176
AA,A,IRANIAN,4687887
AA,A,JOACHIM,1060553
AA,A,KARACHI,1475630
AA,A,KARAMI,22522
AA,A,KARATE,2723996
AA,A,KERALA,3861158
AA,A,KOALA,922217
AA,A,LIANA,193039
AA,A,LITERATI,170234
AA,A,MAHABHARATA,135009
AA,A,MAHARAJA,283845
AA,A,MARACA,24286
AA,A,MARATHI,451824
AA,A,MARCIANO,207620
AA,A,MARIACHI,434989
AA,A,MARIANNA,453896
AA,A,MINERALOGY,503559
AA,A,OAHU,1981256
AA,A,SANTIAGO,4071798
AA,A,SERAPHIM,370887
AA,A,SICILIANO,80131
AA,A,SIRACUSA,200105
AA,A,STADIA,169253
AA,A,TERRA,3747696
AA,A,TIRANA,412931
AA,A,VIRAGO,186018
AA,A,ZARAGOZA,702892
AA,O,ACCELEROMETER,336444
AA,O,ANAESTHESIOLOGIST,12941
AA,O,ANAESTHESIOLOGY,79895
AA,O,ANDREOTTI,31973
AA,O,ANESTHESIOLOGIST,187208
AA,O,ANESTHESIOLOGY,767475
AA,O,ANTIBIOTIC,2427497
AA,O,ANTIOXIDANT,1524520
AA,O,ARCHAEOLOGIST,450722
AA,O,ARCHAEOLOGY,4760584
AA,O,ARCHEOLOGY,732660
AA,O,ASTROGEOLOGY,16775
AA,O,AUTOBIOGRAPHY,3411910
AA,O,AVIONICS,888869
AA,O,BACTERIOLOGY,311124
AA,O,BAROMETER,1320357
AA,O,BIBLIOGRAPHIC,5844300
AA,O,BIBLIOGRAPHY,11483881
AA,O,BIOGRAPHER,316454
AA,O,BIOGRAPHY,23134870
AA,O,BIOLOGIST,1092265
AA,O,BIOLOGY,23245252
AA,O,BIOPSY,1962155
AA,O,CARDIOLOGIST,360596
AA,O,CARDIOLOGY,2657671
AA,O,CAROTID,872749
AA,O,CHAOTIC,1850672
AA,O,CHOREOGRAPHER,544863
AA,O,CHOREOGRAPHY,886297
AA,O,COOPERATE,3136641
AA,O,COOPERATED,337062
AA,O,COOPERATING,1429352
AA,O,COOPERATION,19182847
AA,O,COOPERATIVE,11453108
AA,O,COROLLA,1247399
AA,O,CORROBORATE,206499
AA,O,CORROBORATED,279724
AA,O,CORROBORATING,116768
AA,O,CORROBORATIVE,47528
AA,O,CURIOSITY,2770499
AA,O,DEROGATORY,437632
AA,O,DIOCESAN,788971
AA,O,DIOXIDE,4276462
AA,O,DUODENUM,228996
AA,O,EMBRYOLOGY,561609
AA,O,EMBRYONIC,1624255
AA,O,EPIDEMIOLOGIST,181920
AA,O,EPIDEMIOLOGY,4427168
AA,O,EROTIC,17422865
AA,O,EROTICA,5228241
AA,O,ETIOLOGY,2874131
AA,O,FEROCITY,222548
AA,O,GANGLIONIC,40709
AA,O,GENEROSITY,1713113
AA,O,GEODESY,286736
AA,O,GEOGRAPHER,194824
AA,O,GEOGRAPHY,13258481
AA,O,GEOLOGY,6099879
AA,O,GEOMETRY,7926717
AA,O,GONIOMETER,45452
AA,O,HAGIOGRAPHY,57734
AA,O,HELIOPOLIS,90906
AA,O,HISTORIOGRAPHY,373496
AA,O,HISTRIONIC,75481
AA,O,HISTRIONICS,46118
AA,O,IDEOLOGY,2984596
AA,O,IDIOTIC,520570
AA,O,INTERFEROMETER,350401
AA,O,INTERROGATORIES,267681
AA,O,INTERROGATORY,107820
AA,O,IONIC,1808092
AA,O,IONOSPHERE,328313
AA,O,IONOSPHERIC,269117
AA,O,IRONIC,1759846
AA,O,IRONICAL,70156
AA,O,KINESIOLOGY,668627
AA,O,MEDIOCRITY,451949
AA,O,METEOROLOGY,1707620
AA,O,MICROBIOLOGIST,161029
AA,O,MICROBIOLOGY,4137858
AA,O,MOROCCAN,1773599
AA,O,MOROCCO,9330705
AA,O,MYOPIC,243928
AA,O,NAPOLEONIC,504318
AA,O,NEOTENY,18848
AA,O,NEUROLOGIST,358315
AA,O,NEUROLOGY,2853302
AA,O,NEUROTIC,473736
AA,O,NUCLEONICS,35731
AA,O,NUMEROLOGY,614496
AA,O,OBDURATE,42505
AA,O,OBFUSCATE,121856
AA,O,OBFUSCATION,220178
AA,O,OBJECT,69819261
AA,O,OBJECTIVELY,896169
AA,O,OBJECTIVITY,964042
AA,O,OBLAST,567121
AA,O,OBLATE,86236
AA,O,OBLIGATE,292551
AA,O,OBLIGATION,14122636
AA,O,OBLONG,574884
AA,O,OBNOXIOUS,817052
AA,O,OBSCENE,1686451
AA,O,OBSERVATION,12217876
AA,O,OBSOLESCENT,64138
AA,O,OBSOLETE,3630687
AA,O,OBTUSE,268754
AA,O,OBVIATE,147559
AA,O,OBVIATED,49416
AA,O,OBVIATING,49983
AA,O,OBVIOUS,15533662
AA,O,OBVIOUSLY,15702193
AA,O,OCCIDENT,60366
AA,O,OCCIDENTAL,977561
AA,O,OCCIPITAL,248834
AA,O,OCCUPANCY,4718502
AA,O,OCCUPANT,1093882
AA,O,OCCUPATION,14955527
AA,O,OCCUPATIONAL,12368358
AA,O,OCCUPIER,407919
AA,O,OCCUPY,2357306
AA,O,OCELOT,135761
AA,O,OCHOA,271744
AA,O,OCKER,36128
AA,O,OCTAGON,512182
AA,O,OCTAGONAL,312772
AA,O,OCTAHEDRAL,84679
AA,O,OCTAHEDRON,61764
AA,O,OCTANE,881715
AA,O,OCTAVE,2180280
AA,O,OCTAVIA,382912
AA,O,OCTAVIUS,110631
AA,O,OCTET,2280607
AA,O,OCTOBER,163363054
AA,O,OCTOGENARIAN,52561
AA,O,OCTOPI,41655
AA,O,OCTOPUS,1337780
AA,O,ODDITY,364391
AA,O,ODDLY,1385252
AA,O,ODYSSEY,4493747
AA,O,OGBURN,33961
AA,O,OGDEN,2024597
AA,O,OGILVIE,274407
AA,O,OGLESBY,219940
AA,O,OLAND,36123
AA,O,OLEA,86208
AA,O,OLIGARCHY,198695
AA,O,OLIGOCENE,133465
AA,O,OLIGOPOLY,148827
AA,O,OLIPHANT,234797
AA,O,OLIVE,9298184
AA,O,OLIVER,9312468
AA,O,OLIVES,1354049
AA,O,OLIVETTE,32490
AA,O,OLIVINE,258437
AA,O,OLLIE,855837
AA,O,OMINOUS,719585
AA,O,OMINOUSLY,137723
AA,O,OMNI,3205681
AA,O,OMNIBUS,1149829
AA,O,OMNIBUSES,31996
AA,O,OMNIPOTENCE,160477
AA,O,OMNIPOTENT,339331
AA,O,OMNIPRESENT,260361
AA,O,OMNIVOROUS,83649
AA,O,ONOMASTICS,18346
AA,O,ONONDAGA,433906
AA,O,ONRUSHING,24971
AA,O,ONWARDS,1904092
AA,O,ONYX,2315135
AA,O,OPERABLE,529630
AA,O,OPERANT,126197
AA,O,OPERATE,18249982
AA,O,OPERATIC,353309
AA,O,OPERATION,58855769
AA,O,OPERATIONAL,17293992
AA,O,OPERATIVE,4823410
AA,O,OPERATOR,25471127
AA,O,OPERETTA,221044
AA,O,OPHTHALMIC,1059134
AA,O,OPHTHALMOLOGIST,228797
AA,O,OPHTHALMOLOGY,1761676
AA,O,OPHTHALMOSCOPE,42371
AA,O,OPPENHEIM,287191
AA,O,OPPENHEIMER,548284
AA,O,OPPORTUNE,220621
AA,O,OPPORTUNIST,154278
AA,O,OPPORTUNISTIC,827337
AA,O,OPPORTUNITY,60033252
AA,O,OPPOSITE,11965213
AA,O,OPPOSITION,12183104
AA,O,OPTIC,4558869
AA,O,OPTICAL,26665491
AA,O,OPTICIAN,296446
AA,O,OPTICS,7616886
AA,O,OPTIMAL,10331534
AA,O,OPTIMIST,603119
AA,O,OPTIMISTIC,2791411
AA,O,OPTIMISTICALLY,95537
AA,O,OPTIMIZATION,16067890
AA,O,OPTIMIZE,5483874
AA,O,OPTIMUM,5188219
AA,O,OPTION,61717435
AA,O,OPTIONAL,40839022
AA,O,OPTOMETRIST,350656
AA,O,OPTOMETRY,869991
AA,O,OPULENCE,218727
AA,O,OPULENT,342718
AA,O,OSCILLATE,157070
AA,O,OSCILLATED,35382
AA,O,OSCILLATING,500079
AA,O,OSCILLATION,1002305
AA,O,OSCILLATOR,1435927
AA,O,OSCILLATORY,272010
AA,O,OSLER,179722
AA,O,OSLO,3784794
AA,O,OSMIUM,114324
AA,O,OSMOND,460853
AA,O,OSMUND,14443
AA,O,OSSA,76724
AA,O,OSSETIA,149468
AA,O,OSSETIAN,48121
AA,O,OSSIFICATION,100784
AA,O,OSSIFIED,37699
AA,O,OSTEOPOROSIS,2733610
AA,O,OSWEGO,1270792
AA,O,OTHMAN,100957
AA,O,OTSEGO,315793
AA,O,OTTAWA,12050603
AA,O,OTTER,1662335
AA,O,OTTERBEIN,166460
AA,O,OTTO,2864525
AA,O,OTTOMAN,1703262
AA,O,OXALIS,70276
AA,O,OXEN,482660
AA,O,OXFORD,21694927
AA,O,OXIDANT,321825
AA,O,OXIDASE,1023113
AA,O,OXIDATION,2533059
AA,O,OXIDATIVE,1090078
AA,O,OXIDE,5321340
AA,O,OXIDIZE,115133
AA,O,OXIDIZER,149134
AA,O,OXYGEN,11522424
AA,O,OXYGENATE,84346
AA,O,OXYGENATED,266543
AA,O,OXYMORON,361483
AA,O,OXYTOCIN,252363
AA,O,OZZIE,494900
AA,O,PATRIOTIC,3654140
AA,O,PERIODIC,7109279
AA,O,PERIODICAL,1905817
AA,O,PERIODICALLY,7513935
AA,O,PEROXIDE,1028613
AA,O,PHARAONIC,71788
AA,O,PHYSIOLOGIST,167433
AA,O,PHYSIOLOGY,9197243
AA,O,POLAROGRAPHY,18247
AA,O,PREOCCUPATION,398883
AA,O,PREOCCUPIED,483610
AA,O,PREOCCUPY,57089
AA,O,PREROGATIVE,539699
AA,O,PROPIONIC,90338
AA,O,PYROXENE,83785
AA,O,RADIOGRAPHY,1498196
AA,O,RADIOLOGICAL,1354035
AA,O,RADIOLOGIST,425622
AA,O,RADIOLOGY,3683754
AA,O,RELIGIOSITY,171851
AA,O,SEMIOTIC,190482
AA,O,SEMIOTICS,286094
AA,O,SEROLOGY,205077
AA,O,SKYROCKET,230452
AA,O,SOCIOLOGIST,378759
AA,O,SOCIOLOGY,7541153
AA,O,SUPEROXIDE,469300
AA,O,SYMBIOTIC,374761
AA,O,TENSIOMETER,14535
AA,O,THEOCRACY,309138
AA,O,THEOLOGY,6464165
AA,O,UNCOOPERATIVE,182453
AA,O,UNCORROBORATED,57445
AA,O,UNPATRIOTIC,184013
AA,O,UROLOGY,1674293
AA,O,VERONICA,2827245
AA,O,VIROLOGY,1052306
AA,O,VIRTUOSITY,197486
AA,O,VITRIOLIC,99105
AA,O,ZOOLOGIST,124356
AA,O,ZOOLOGY,1672374
AA,AU,AUBURN,6026025
AA,AU,AUCKLAND,7960929
AA,AU,AUCTION,44619724
AA,AU,AUCTIONEER,726743
AA,AU,AUDACIOUS,314603
AA,AU,AUDACITY,590668
AA,AU,AUDIBLE,1842341
AA,AU,AUDIBLY,124589
AA,AU,AUDIENCE,24472658
